Stock,MAE,RMSE,MAPE
ADANIENT.NS_hybrid_predictions,23.773464743714772,54.749001549877036,4.890308125270796
ASIANPAINT.NS_hybrid_predictions,31.603404119243397,45.536047647284335,1.6705047466701046
BHARTIARTL.NS_hybrid_predictions,9.506733525252065,13.664111348233126,1.7855325742731885
CIPLA.NS_hybrid_predictions,10.738372451545844,15.555546675962617,1.4103267697513586
DIVISLAB.NS_hybrid_predictions,40.10702226185533,61.65118847778371,1.879664916777915
GRASIM.NS_hybrid_predictions,18.408960106491968,26.026846932074992,1.5997348194871877
HCLTECH.NS_hybrid_predictions,10.227102796234906,15.320273737407144,1.4756179949828914
HDFCBANK.NS_hybrid_predictions,13.202951301404697,19.876231801064158,1.1674663577348883
HINDALCO.NS_hybrid_predictions,5.923026961808986,8.812974416394141,2.1998247470093277
HINDUNILVR.NS_hybrid_predictions,22.26849960236666,32.26220840723991,1.2689393537438174
ICICIBANK.NS_hybrid_predictions,8.114653422030393,11.681559557352683,1.7252728259591252
INFY.NS_hybrid_predictions,12.756047130975317,19.312780178301836,1.4114375081966035
ITC.NS_hybrid_predictions,3.311664706589805,4.6144752679742185,1.3969079128701931
JSWSTEEL.NS_hybrid_predictions,7.252715986493373,10.91463254664098,1.974839391869733
LT.NS_hybrid_predictions,22.56452735790856,34.33529841830623,1.5026806624463653
M&M.NS_hybrid_predictions,17.171244065075026,28.50492737241013,1.7761206228165274
MARUTI.NS_hybrid_predictions,99.07718772653884,139.79184531029134,1.4403684302572672
NTPC.NS_hybrid_predictions,2.0360396748745213,3.282904760665986,1.531043373217073
RELIANCE.NS_hybrid_predictions,10.876442593087026,16.078514117853494,1.5547128688678953
SBIN.NS_hybrid_predictions,6.057537924772038,8.842935167278666,1.7781304878023203
SUNPHARMA.NS_hybrid_predictions,14.449071184224682,19.704012746427995,1.9618950201196261
TATAMOTORS.NS_hybrid_predictions,8.363005936968849,12.227902799471458,2.3417367048019835
TATASTEEL.NS_hybrid_predictions,0.8965554301692332,1.768093999213661,2.214770242704009
TCS.NS_hybrid_predictions,36.08171487265912,50.693870818123315,1.5176454331988154
ULTRACEMCO.NS_hybrid_predictions,78.87758595815433,110.668594707919,1.507822109738729
