Stock,MAE,RMSE,MAPE
ADANIENT.NS_arima_predictions,18.959124191727685,49.635945912565944,2.2016938208742993
ASIANPAINT.NS_arima_predictions,20.961122942683616,34.66190837039466,1.1703357653414124
BHARTIARTL.NS_arima_predictions,7.17274877239328,12.251711993357912,1.3835256256849449
CIPLA.NS_arima_predictions,9.050988927298409,17.73974866915543,1.2030496080509678
DIVISLAB.NS_arima_predictions,30.84248162814827,52.32781891520692,1.3739912582804568
GRASIM.NS_arima_predictions,14.912154102555789,23.428229814512264,1.3428627455580358
HCLTECH.NS_arima_predictions,8.322639045871876,14.010012452339964,1.2481088200242785
HDFCBANK.NS_arima_predictions,11.067052175381875,18.949377245356985,1.0150765499259466
HINDALCO.NS_arima_predictions,4.959258091565446,8.047527286530746,1.8491242490043147
HINDUNILVR.NS_arima_predictions,17.27575202270322,28.95542935482705,1.042992647617064
ICICIBANK.NS_arima_predictions,6.454032645030841,11.047331868700546,1.4054013209305396
INFY.NS_arima_predictions,10.813427958494007,18.10955801362514,1.2140688980839638
ITC.NS_arima_predictions,2.639694770423245,5.237275539249053,1.1396251481446675
JSWSTEEL.NS_arima_predictions,5.831856001463387,9.281761655518245,1.5851904582670149
LT.NS_arima_predictions,18.31608563128686,33.409276748058716,1.2342708094231445
M&M.NS_arima_predictions,12.872021498781924,23.76228745996867,1.4013841334395478
MARUTI.NS_arima_predictions,82.72707111520073,133.41660669954447,1.227967438612674
NTPC.NS_arima_predictions,1.6657250753727655,3.2386111966382654,1.2661360192284994
RELIANCE.NS_arima_predictions,8.72820054509326,13.878790926776094,1.2697335077185714
SBIN.NS_arima_predictions,5.162007464643962,9.597769710824696,1.5140045652748255
SUNPHARMA.NS_arima_predictions,9.452076796494866,20.15703673499852,1.3384016598778308
TATAMOTORS.NS_arima_predictions,6.902944259920055,13.980677507443389,1.8511375476030247
TATASTEEL.NS_arima_predictions,0.7201414846424581,1.5539060785559282,1.7211099387458628
TCS.NS_arima_predictions,24.088805462518707,41.47810949486544,1.1009946493829923
ULTRACEMCO.NS_arima_predictions,64.70612160589874,104.90722578633016,1.2720170308134484
