Stock,MAE,RMSE,MAPE
ADANIENT.NS_lstm_predictions,40.97356615303936,74.52883544325542,15.040214663927312
ASIANPAINT.NS_lstm_predictions,47.57153132308624,64.20463706956264,2.5377938732900582
BHARTIARTL.NS_lstm_predictions,12.585726984526081,18.65892860071666,2.242045844151094
CIPLA.NS_lstm_predictions,12.82044548110791,18.06743645059163,1.7190879394665668
DIVISLAB.NS_lstm_predictions,86.78389614599669,116.94348734813853,4.31728581349992
GRASIM.NS_lstm_predictions,24.180906317812564,33.13786224478694,2.1709314157071904
HCLTECH.NS_lstm_predictions,14.292660233334034,21.29793431030195,2.0561491529140796
HDFCBANK.NS_lstm_predictions,19.527707488695206,28.04635679006556,1.7878799103226979
HINDALCO.NS_lstm_predictions,8.455867050026349,11.985259440836801,3.1685640402424067
HINDUNILVR.NS_lstm_predictions,26.84270542855338,38.140441743472856,1.5787911960119978
ICICIBANK.NS_lstm_predictions,13.534840039497922,19.01984765238801,2.6809333225124585
INFY.NS_lstm_predictions,21.43768598933356,32.292968218687655,2.2932636826828787
ITC.NS_lstm_predictions,5.085567438260066,6.615303523443573,2.223376421894049
JSWSTEEL.NS_lstm_predictions,13.550324403310592,18.142431602250422,4.100534278160582
LT.NS_lstm_predictions,31.807936333503996,46.313970192163346,2.151562465027756
M&M.NS_lstm_predictions,23.941842961734626,35.21294625406079,2.7371307594396095
MARUTI.NS_lstm_predictions,140.5124891452911,193.203760358519,2.0554295492347845
NTPC.NS_lstm_predictions,3.1197396060039146,5.077896815525822,2.3080650601072836
RELIANCE.NS_lstm_predictions,19.45567645767851,27.504635268619282,2.5880752260793143
SBIN.NS_lstm_predictions,9.328862019185747,12.727955542811035,2.6206128599659197
SUNPHARMA.NS_lstm_predictions,17.93560526100668,24.35572945386726,2.4464710620917804
TATAMOTORS.NS_lstm_predictions,16.67429075738417,22.22889787640553,4.267153618852436
TATASTEEL.NS_lstm_predictions,1.3638627918362507,2.571676590273727,3.1333568383013737
TCS.NS_lstm_predictions,35.25227489439677,49.32790030592846,1.6481916286408616
ULTRACEMCO.NS_lstm_predictions,118.19597712583602,158.29713607625052,2.3232112665691957
