Date,Close,High,Low,Open,Volume
2015-01-01,1353.35595703125,1359.6058043481,1348.5266241346997,1352.5984803450897,119605
2015-01-02,1356.2913818359375,1365.950046499728,1352.266918960635,1358.8480531903706,247162
2015-01-05,1354.3974609375,1365.1451205826852,1349.6154060700428,1358.0431275670562,211101
2015-01-06,1321.775634765625,1353.1190756840974,1312.73249924028,1349.378738750462,405597
2015-01-07,1304.494140625,1327.2205197842939,1292.8942179291105,1321.775658110713,483850
2015-01-08,1333.2335205078125,1337.8735127139967,1306.7668042954324,1311.5014666298362,340287
2015-01-09,1345.306884765625,1349.8522067601539,1330.9135577701834,1336.1216862424253,317299
2015-01-12,1355.0604248046875,1358.8481548530585,1340.5723111327297,1347.153561447183,218007
2015-01-13,1357.0015869140625,1373.9989780695096,1345.5910047117666,1356.1966018617215,340354
2015-01-14,1347.81640625,1361.6889910646435,1335.1748799729814,1355.060463291728,184846
2015-01-15,1360.884033203125,1382.0479509574893,1321.7283983756586,1361.6889026905583,433511
2015-01-16,1352.266845703125,1371.1581006456677,1350.325588066797,1356.9541147964378,236647
2015-01-19,1385.83544921875,1389.6231784957401,1354.113216523958,1355.0601488432055,390371
2015-01-20,1397.38818359375,1401.2706991497573,1376.8397954691457,1395.3996485481982,370117
2015-01-21,1406.0052490234375,1409.414182485003,1383.9416782546314,1400.51299496312,388480
2015-01-22,1423.6656494140625,1439.1006957102732,1404.3009256379898,1415.6641158656741,800501
2015-01-23,1410.4085693359375,1443.5512069169577,1391.990778402852,1443.5512069169577,617287
2015-01-27,1443.36181640625,1448.2385417418693,1397.2462513858575,1409.9824468616737,641940
2015-01-28,1435.0760498046875,1452.1208329762378,1422.1031221832745,1441.136440273039,643871
2015-01-29,1472.053955078125,1480.0080955554345,1440.2843236611527,1454.20418508879,1189408
2015-01-30,1501.171875,1506.7114060342276,1463.0104557111856,1472.479779049122,648933
2015-02-02,1472.1959228515625,1520.7736067126348,1463.1527867623222,1502.7818890740668,541843
2015-02-03,1464.2890625,1493.3125670257873,1442.178211528392,1479.8187787695301,808855
2015-02-04,1495.8218994140625,1515.0919520608682,1467.7927214194049,1476.173050660773,450821
2015-02-05,1494.5435791015625,1524.5612924742104,1476.4097989949687,1496.153318080281,497609
2015-02-06,1484.5062255859375,1503.7290040535413,1470.397021989047,1494.3543479752893,234610
2015-02-09,1464.0997314453125,1488.814646972725,1458.5128064873522,1477.2147236619182,283211
2015-02-10,1480.008056640625,1487.394176138028,1460.2172605063279,1464.8571371319772,318035
2015-02-11,1506.09619140625,1515.0446575923147,1473.80581519938,1484.790209446715,400919
2015-02-12,1531.8526611328125,1547.1456441474438,1501.9296172098748,1515.092002096558,348159
2015-02-13,1590.3255615234375,1602.3516722724821,1556.8989173988641,1593.687217756232,1764074
2015-02-16,1574.03857421875,1600.126611263165,1569.8247707608339,1598.4220864979695,830177
2015-02-18,1592.5985107421875,1597.664576844607,1575.6957875816126,1595.5339785741392,664131
2015-02-19,1597.0015869140625,1614.9933035765987,1585.543727315863,1597.475053142024,905398
2015-02-20,1601.5943603515625,1608.4596214034782,1587.106361556035,1598.4221593977686,611265
2015-02-23,1561.39697265625,1612.625996156736,1516.2282244889382,1595.5812116994127,2661139
2015-02-24,1573.6123046875,1579.48323931613,1537.8182138185823,1562.5331262793427,713170
2015-02-25,1575.9798583984375,1581.3773275909998,1560.9708853004154,1578.536529996525,1030353
2015-02-26,1607.46533203125,1624.9361906412405,1560.5447798232892,1576.6426325277769,4295665
2015-02-27,1645.295166015625,1652.5392225269104,1609.785198403777,1609.785198403777,1319802
2015-03-02,1701.59033203125,1712.8115747778002,1650.5033692208763,1656.1849642956468,727102
2015-03-03,1706.703857421875,1729.0988353353514,1690.2746008070112,1699.7439263017282,764844
2015-03-04,1692.4049072265625,1736.579326161014,1675.4075171312998,1719.581820473419,812954
2015-03-05,1740.604248046875,1745.5756443860605,1681.7997544675513,1686.5816949241123,990561
2015-03-09,1770.2904052734375,1780.043856792174,1732.8865694840283,1739.2309713430122,1055203
2015-03-10,1797.6566162109375,1815.5536629332028,1770.7637110634837,1784.3995616896066,1443134
2015-03-11,1772.6575927734375,1803.906364440918,1761.1997329471633,1803.3382280745232,939918
2015-03-12,1783.4052734375,1789.5603345932138,1761.2944230196733,1775.4984103020902,980143
2015-03-13,1777.7237548828125,1804.806002012744,1766.5026275661928,1787.8086094049704,927786
2015-03-16,1765.60302734375,1793.490143045937,1762.2413707542178,1780.2330881342984,817248
2015-03-17,1777.0609130859375,1793.4901689704445,1766.1711892511116,1775.309111065761,631130
2015-03-18,1773.9832763671875,1797.277791537349,1767.2600790852787,1784.8729995508963,694160
