Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2015-01-01,386.3264465332031,387.8135167953328,382.90226058773476,385.2600428647647,2002764
2015-01-02,393.91827392578125,395.06294928190067,385.85677281060174,385.85677281060174,6778320
2015-01-05,390.533203125,397.2054675316152,386.9329123368321,393.27255117694216,9937024
2015-01-06,382.37384033203125,388.400415527554,378.4409240248918,387.42207694939896,9667316
2015-01-07,384.2033996582031,386.3948687877058,381.55209223244776,384.48710832654353,7249916
2015-01-08,386.1405029296875,390.7484878918148,381.5521038502949,388.51787081533774,13564920
2015-01-09,405.9028625488281,412.66319133507596,374.32211395596823,387.4416192924604,44863328
2015-01-12,414.023193359375,414.659113588808,406.0106080226091,409.336959991951,12758888
2015-01-13,408.7302551269531,412.4284034613122,406.01049310062234,412.4284034613122,8801236
2015-01-14,416.508056640625,417.35923029722613,409.45427382921366,410.6086942235017,9921260
2015-01-15,417.60382080078125,421.23346646865804,413.2991310701418,417.7896955759712,8342452
2015-01-16,414.48291015625,422.64224392233,413.2501940573893,420.29423145609485,6690960
2015-01-19,411.39141845703125,417.2321195347414,409.8456624375937,414.81560386630497,4087744
2015-01-20,415.637451171875,417.3593370344051,411.18600957903266,412.2719752140138,6804504
2015-01-21,424.579345703125,425.7631449051724,414.42421064119685,417.06572473168603,8494908
2015-01-22,429.77435302734375,431.05598614441203,422.8966517937237,425.5381660075002,9958396
2015-01-23,433.4137268066406,435.3606107703813,423.6401352335448,430.4689185145343,9486328
2015-01-27,418.0441589355469,434.5780842479989,416.79190441059365,434.5780842479989,13739968
2015-01-28,419.6192321777344,421.62482637320306,416.8309670767169,420.6856117324563,13134356
2015-01-29,419.80511474609375,420.6660336499807,416.30268148701106,419.7072808810865,15369424
2015-01-30,419.1006164550781,423.1411830156439,416.1753939714083,422.9357223819823,10833744
2015-02-02,418.1126403808594,421.07698761205035,415.99941917890305,419.02247628773506,8702540
2015-02-03,414.99163818359375,418.71911771335596,411.29353747338325,418.11257645831756,5265956
2015-02-04,419.2865905761719,420.6855956582084,416.067818383738,418.7093325890337,5160016
2015-02-05,429.2557678222656,434.38225150668194,420.2941784848436,420.8420575453344,11875936
2015-02-06,436.4369201660156,439.82198182450855,428.2188745946313,431.44739249767514,7453728
2015-02-09,440.0372314453125,441.03515618639057,430.46909654394824,430.46909654394824,6536868
2015-02-10,445.789794921875,449.6444396151402,438.4913791024931,438.8827145590772,8516920
2015-02-11,447.0714111328125,448.7052079397942,441.4752952078195,446.220237438862,5796972
2015-02-12,452.2272644042969,454.33069257799565,444.75276640161405,446.7094437724967,6287536
2015-02-13,449.27264404296875,455.26004725344956,447.29638108137243,449.9574810218772,5657516
2015-02-16,445.8778076171875,451.3858347117214,443.23629345247787,446.181102130927,6244276
2015-02-18,449.35101318359375,451.00439621012714,441.84713544027755,448.18679955961164,8613764
2015-02-19,454.8687438964844,456.68846326564113,448.4802118797147,448.861754383625,9673624
2015-02-20,446.72906494140625,457.0798699428054,445.51588665927545,455.6123617987253,6971628
2015-02-23,443.3049011230469,451.8359868922072,439.8807152847435,450.03585303416054,5090488
2015-02-24,444.713623046875,449.2433118550826,441.7394831267067,445.9267534099177,6437676
2015-02-25,453.4795837402344,456.84505939138836,446.1224574391992,447.8638812569898,6044972
2015-02-26,441.8373107910156,451.7967789272733,439.3522924567,451.50327733853754,6445776
2015-02-27,443.3340148925781,446.24944401210234,440.5457506479707,445.12435493094495,7801076
2015-03-02,448.4117126464844,451.69893995724635,445.74086732736293,450.62276747738287,7040992
2015-03-03,449.6152648925781,450.61314199155856,445.7899499203413,448.07925358324707,4905552
2015-03-04,445.0755615234375,452.75551955644954,440.6241208800993,450.0357573484759,4375228
2015-03-05,439.7828674316406,449.79125404144725,436.9946019090346,443.5885957312133,5684916
2015-03-09,428.52215576171875,442.0134372653754,426.36001761896983,442.0134372653754,7984720
2015-03-10,430.07769775390625,431.82891449412915,422.6814475378074,430.09728363632235,6329916
2015-03-11,426.98614501953125,438.2957502726192,424.4229262136865,429.314619855122,6780912
2015-03-12,434.0497131347656,435.64438594570925,425.9686267390053,426.35996217928,5688564
2015-03-13,434.4606018066406,436.33903109351564,428.9819054521032,435.3606924587768,6179684
2015-03-16,443.51019287109375,446.51371130818194,432.53326307393905,432.53326307393905,6818632
2015-03-17,438.3935852050781,446.02462730416227,433.8443101075472,443.5102776582088,5539312
